slug,cost_scope,actual_modeled_cost_unit,whole_gift_allocation_exists,allocation_or_missing,proof_file,proof_line,index_proof,renderer,revision_group,pending_note
"brightline-defense","program_only","One six-month adult room-filtration episode","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/brightline-filtration-cea-v1.json","55","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:15","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/brightline-defense/page.tsx","G2_clinical_access_and_shared_pathways",""
"rebuilding-together-sf","program_only","One high-risk adult/home fall-hazard modification course","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/rtsf-falls-cea-v1.json","139","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:16","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/rebuilding-together-sf/page.tsx","G2_clinical_access_and_shared_pathways",""
"ymca-greater-sf","whole_gift_partial_health","One$100,000 ordinary unrestricted organization gift; partial health quantified","yes_explicit_prior","Budget allocations across fitness/mental/family/DPP/other","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/ymca-portfolio-model.mjs","4","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:17","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/ymca-greater-sf/page.tsx","G0_keep_whole_gift_boundary",""
"community-forward-sf","program_only","One medical-respite admission (central53 bed-days)","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/cfsf-respite-cea-v1.json","18","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:18","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/community-forward-sf/page.tsx","G2_clinical_access_and_shared_pathways",""
"sfccc","program_only","One sustained venous-ulcer care course/year","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/sfccc-wound-cea-v1.json","19","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:19","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/sfccc/page.tsx","G2_clinical_access_and_shared_pathways",""
"st-anthony-foundation","program_only","One offered diabetes reconnection/outreach episode","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/st-anthony-foundation/page.tsx","13","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:20","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/st-anthony-foundation/page.tsx","G2_clinical_access_and_shared_pathways",""
"clinic-by-the-bay","program_only","One completed clinically indicated dental extraction episode","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/clinic-by-the-bay/page.tsx","13","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:21","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/clinic-by-the-bay/page.tsx","G2_clinical_access_and_shared_pathways",""
"breathe-california","program_only","One six-session cessation enrollee; asthma separate program sensitivity","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/breathe-california/page.tsx","14","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:22","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/breathe-california/page.tsx","G1_legacy_low_headline",""
"san-francisco-free-clinic","program_only","One hypothetical20-start shingles-vaccine cohort with stock cost","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/sffc-vaccine-cea-v1.json","7","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:23","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/san-francisco-free-clinic/page.tsx","G2_clinical_access_and_shared_pathways",""
"north-east-medical-services","program_only","One initial HBV registry person;20-year navigation cost PV","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/nems-hbv-cea-v1.json","9","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:24","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/north-east-medical-services/page.tsx","G2_clinical_access_and_shared_pathways",""
"san-francisco-community-health-center","program_only","One eligible enrollee in integrated HCV clinical-access package","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/sfchc-hcv-cea-v1.json","9","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:25","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/san-francisco-community-health-center/page.tsx","G2_clinical_access_and_shared_pathways",""
"healthright-360","program_only","One two-year nurse-led medication-access clinical-capacity package","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/healthright-moud-cea-v1.json","9","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:26","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/healthright-360/page.tsx","G2_clinical_access_and_shared_pathways",""
"national-harm-reduction-coalition","program_only","One DOPE100-resident-person-year tenant-responder site","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/dope-site-cea-v1.json","9","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:27","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/national-harm-reduction-coalition/page.tsx","G2_clinical_access_and_shared_pathways",""
"san-francisco-aids-foundation","program_only","One distributed naloxone dose with targeted outreach","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/sfaf-naloxone-cea-v1.json","11","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:28","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/san-francisco-aids-foundation/page.tsx","G1_legacy_low_headline",""
"project-homeless-connect","program_only","One completed prescription-glasses dispense","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/phc-glasses-cea-v1.json","10","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:29","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/project-homeless-connect/page.tsx","G1_legacy_low_headline","Whole-gift tmp packet exists; pending independent acceptance/integration; snapshot still program-only"
"united-playaz","program_only","One proposed intensive youth mentorship place-year","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/united-playaz-cea-v1.json","42","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:30","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/united-playaz/page.tsx","G4_workforce_food_social_education",""
"tenderloin-housing-clinic","program_only","One proposed accelerated safe room turnover","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/thc-turnover-cea-v1.json","8","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:31","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/tenderloin-housing-clinic/page.tsx","G3_housing_policy_legal",""
"self-help-for-the-elderly","program_only","One proposed24-week therapeutic tai chi course","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/self-help-for-the-elderly/page.tsx","10","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:32","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/self-help-for-the-elderly/page.tsx","G2_clinical_access_and_shared_pathways",""
"rams","program_only","One offered depression-counseling course","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/rams-depression-cea-v1.json","8","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:33","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/rams/page.tsx","G2_clinical_access_and_shared_pathways",""
"progress-foundation","program_only","One proposed additional two-week crisis-residential episode","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/progress-crisis-cea-v1.json","8","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:34","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/progress-foundation/page.tsx","G2_clinical_access_and_shared_pathways",""
"openhouse","program_only","One proposed six-month Friendly Visitor match","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/openhouse-companionship-cea-v1.json","8","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:35","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/openhouse/page.tsx","G4_workforce_food_social_education",""
"new-door-ventures","whole_gift_partial_health","One$100,000 ordinary unrestricted organization gift; partial health quantified","yes_explicit_prior","70% employment;15% education;10% career;5% strategy","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/newdoor-portfolio-v1.json","26","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:36","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/new-door-ventures/page.tsx","G0_keep_whole_gift_boundary",""
"mission-neighborhood-centers","program_only","One proposed targeted child dental-prevention course","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/mnc-dental-cea-v1.json","8","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:37","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/mission-neighborhood-centers/page.tsx","G2_clinical_access_and_shared_pathways",""
"lyon-martin","program_only","One supported earlier adult testosterone start","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/lyon-earlier-care-cea-v1.json","8","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:38","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/lyon-martin/page.tsx","G2_clinical_access_and_shared_pathways",""
"larkin-street","program_only","One proposed TYI-dose cash-plus housing package","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/larkin-street/page.tsx","11","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:39","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/larkin-street/page.tsx","G3_housing_policy_legal",""
"huckleberry-youth-programs","program_only","One offered adolescent anxiety counseling course","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/huckleberry-counseling-cea-v1.json","8","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:40","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/huckleberry-youth-programs/page.tsx","G2_clinical_access_and_shared_pathways",""
"homeless-youth-alliance","program_only","One supported buprenorphine initiation/retention episode","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/hya-medication-access-cea-v1.json","9","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:41","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/homeless-youth-alliance/page.tsx","G2_clinical_access_and_shared_pathways",""
"harm-reduction-therapy-center","program_only","One offered five-session alcohol-focused mobile therapy course","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/hrtc-therapy-cea-v1.json","10","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:42","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/harm-reduction-therapy-center/page.tsx","G2_clinical_access_and_shared_pathways",""
"jcyc","program_only","One MYEEP additional summer paid-work slot","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/jcyc-myeep-cea-v1.json","9","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:43","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/jcyc/page.tsx","G4_workforce_food_social_education",""
"sf-marin-food-bank","program_only","One26-week Community Markets household course; cash vs recognized food resources","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/sf-marin-food-bank-community-market-cea-v1.json","11","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:44","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/sf-marin-food-bank/page.tsx","G4_workforce_food_social_education",""
"sf-lgbt-center","program_only","Economic Development program expense per reported living-wage placement, then attribution","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/sf-lgbt-center-employment-cea-v1.json","9","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:45","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/sf-lgbt-center/page.tsx","G4_workforce_food_social_education",""
"institute-on-aging","program_only","One participant in structured Friendship Line proactive calling","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/institute-on-aging-cea-v1.json","11","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:46","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/institute-on-aging/page.tsx","G4_workforce_food_social_education",""
"glide","program_only","One historical-equivalent rental-assistance household/case","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/glide-rental-assistance-cea-v1.json","11","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:47","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/glide/page.tsx","G1_legacy_low_headline",""
